Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date,Location
010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,01/01/2014,12/31/2014,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
010032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.84,,01/01/2014,12/31/2014,"209 NORTH MAIN STREET
WEDOWEE, AL 36278
"
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,2568823100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.98,,01/01/2014,12/31/2014,"ONE HOSPITAL DR SE
HUNTSVILLE, AL 35801
"
020001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99508,ANCHORAGE,9072123675,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.9,,01/01/2014,12/31/2014,"BOX 196604
ANCHORAGE, AK 99508
"
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,9075436300,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.67,,01/01/2014,12/31/2014,"PO BOX 287
BETHEL, AK 99559
"
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.75,,01/01/2014,12/31/2014,"PO BOX 649
FORT DEFIANCE, AZ 86504
"
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.71,,01/01/2014,12/31/2014,"PO BOX 600
TUBA CITY, AZ 86045
"
030074,SELLS INDIAN HEALTH SERVICE HOSPITAL,PO BOX 548,SELLS,AZ,85634,PIMA,5203837200,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.72,,01/01/2014,12/31/2014,"PO BOX 548
SELLS, AZ 85634
"
030077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,1 - The number of cases/patients is too few to report.,01/01/2014,12/31/2014,"103 MEDICINE WAY ROAD
PERIDOT, AZ 85542
"
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,9286747001,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.73,,01/01/2014,12/31/2014,"US HWY 191, HOSPITAL ROAD
CHINLE, AZ 86503
"
040007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,5015523000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,01/01/2014,12/31/2014,"TWO ST VINCENT CIRCLE
LITTLE ROCK, AR 72205
"
040050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,OUACHITA,8708361000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.04,,01/01/2014,12/31/2014,"638 CALIFORNIA AVENUE
CAMDEN, AR 71701
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1,,01/01/2014,12/31/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,3555 CESAR CHAVEZ STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.91,,01/01/2014,12/31/2014,"3555 CESAR CHAVEZ STREET
SAN FRANCISCO, CA 94110
"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,01/01/2014,12/31/2014,"ONE HOAG DRIVE
NEWPORT BEACH, CA 92663
"
050309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.96,,01/01/2014,12/31/2014,"ONE MEDICAL PLAZA
ROSEVILLE, CA 95661
"
050441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,CA,94305,SANTA CLARA,6507235708,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,01/01/2014,12/31/2014,"300 PASTEUR DRIVE
STANFORD, CA 94305
"
050454,UCSF MEDICAL CENTER,"505 PARNASSUS AVE, BOX 0296",SAN FRANCISCO,CA,94143,SAN FRANCISCO,4153532733,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.99,,01/01/2014,12/31/2014,"505 PARNASSUS AVE, BOX 0296
SAN FRANCISCO, CA 94143
"
050488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,5105371234,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.01,,01/01/2014,12/31/2014,"20103 LAKE CHABOT ROAD
CASTRO VALLEY, CA 94546
"
050567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,9493641400,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,0.95,,01/01/2014,12/31/2014,"27700 MEDICAL CENTER RD
MISSION VIEJO, CA 92691
"
050717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,5624017022,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,1.15,,01/01/2014,12/31/2014,"7601 EAST IMPERIAL HIGHWAY
DOWNEY, CA 90242
"
