area_name,city_name
长春,长春市
白山,江源
延边,敦化
延边,敦化
延边,敦化
延边,敦化
吉林,吉林市
吉林,吉林市
通化,梅河口
通化,梅河口
通化,梅河口
长春,长春市
松原,扶余
松原,扶余
长春,长春市
通化,梅河口
吉林,吉林市
吉林,吉林市
长春,长春市
长春,长春市
长春,长春市
白山,抚松
白山,靖宇
白山,靖宇
白山,靖宇
白山,靖宇
长春,长春市
四平,梨树
四平,梨树
长春,长春市
延边,汪清
延边,汪清
吉林,永吉
长春,长春市
长春,长春市
长春,长春市
长春,长春市
吉林,桦甸
吉林,桦甸
长春,长春市
长春,长春市
四平,四平市
四平,四平市
长春,德惠
吉林,吉林市
长春,长春市
长春,长春市
长春,长春市
白城,大安
四平,四平市
四平,四平市
吉林,吉林市
长春,长春市
长春,长春市
吉林,磐石
吉林,磐石
长春,长春市
长春,长春市
松原,松原市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
白城,通榆
白城,通榆
松原,松原市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
四平,公主岭
四平,公主岭
四平,四平市
长春,长春市
长春,长春市
长春,长春市
四平,四平市
长春,长春市
长春,长春市
四平,伊通
松原,松原市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
白山,长白
延边,延吉市
吉林,吉林市
白山,长白
四平,伊通
四平,伊通
长春,长春市
四平,伊通
长春,长春市
长春,长春市
通化,通化市
白城,通榆
白城,通榆
白城,通榆
松原,松原市
白城,白城市
松原,松原市
松原,松原市
白城,通榆
白城,通榆
白城,通榆
长春,长春市
长春,长春市
长春,长春市
长春,长春市
四平,梨树
四平,梨树
长春,长春市
长春,长春市
松原,松原市
松原,松原市
通化,辉南
延边,延吉市
白城,白城市
白城,白城市
长春,长春市
延边,延吉市
松原,松原市
松原,松原市
通化,梅河口
长春,德惠
四平,四平市
四平,四平市
四平,四平市
四平,四平市
四平,四平市
四平,四平市
四平,四平市
四平,四平市
四平,四平市
四平,四平市
四平,伊通
白城,白城市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,农安
长春,农安
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,长春市
长春,农安
长春,农安
长春,农安
四平,伊通
四平,伊通
长春,长春市
长春,九台
长春,农安
长春,农安
长春,德惠
辽源,东辽
辽源,东辽
长春,长春市
白城,镇赉
白城,镇赉
白城,镇赉
白城,镇赉
长春,长春市
长春,长春市
白城,大安
白城,大安
吉林,吉林市
长春,长春市
长春,双阳
松原,松原市
松原,松原市
长春,长春市
四平,双辽
四平,双辽
四平,双辽
长春,长春市
辽源,辽源市
吉林,吉林市
吉林,吉林市
吉林,吉林市
通化,通化市
长春,长春市
长春,长春市
四平,四平市
吉林,吉林市
长春,长春市
四平,梨树
长春,长春市
松原,松原市
松原,松原市
白城,镇赉
长春,长春市
长春,德惠
长春,德惠
辽源,东辽
辽源,东辽
松原,松原市
松原,松原市
延边,延吉市
延边,延吉市
四平,四平市
吉林,吉林市
长春,农安
松原,松原市
四平,伊通
长春,长春市
长春,农安
长春,农安
长春,长春市
长春,长春市
长春,长春市
四平,双辽
长春,长春市
白山,靖宇
白山,靖宇
白山,靖宇
白山,靖宇
长春,长春市
长春,农安
长春,农安
长春,农安
长春,长春市
长春,长春市
四平,四平市
长春,长春市
长春,长春市
吉林,桦甸
长春,长春市
延边,敦化
长春,长春市
白山,靖宇
白山,靖宇
白山,靖宇
白山,靖宇
吉林,吉林市
松原,长岭
松原,长岭
